"Ano";"Órgão Superior";"Órgão";"Unidade Gestora";"Categoria";"Origem";"Espécie";"Detalhamento";"Orçamento Atualizado (Valor Previsto)";"Receita Realizada (Valor Arrecadado)";"% Previsto/Realizado";"Valor Lançado";
"2021";"52000 - Ministério da Defesa";"52132 - Comando da Marinha - Fundo Naval";"673001 - DIRETORIA DE FINANCAS DA MARINHA-FUNDO NAVAL";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19220111 - RESTITUICAO DE CONVENIOS-PRIMARIAS-PRINCIPAL";"0,00";"18.680,70";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26410 - Instituto Federal do Norte de Minas Gerais";"158121 - INST.FED.DE EDUC.,CIENC.E TEC.DO NORTE DE MG";"1 - Receitas Correntes";"16 - Receita de Serviços";"161 - Serviços Administrativos e Comerciais Gerais";"16100411 - SERVICOS DE INFORMACAO E TECNOLOGIA-PRINCIPAL";"0,00";"200,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26419 - Instituto Federal do Rio Grande do Sul";"158141 - INST.FED.DE EDUC.,CIENC.E TEC.DO RS";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19210111 - INDENIZ.P/DANOS CAUSADOS AO PATR.PUB.-PRINC.";"0,00";"1.378,78";"0,00%";"0,00";
"2021";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"55001 - Fundo Nacional de Assistência Social";"330013 - FUNDO NACIONAL DE ASSISTENCIA SOCIAL";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19220631 - RESTIT.DESP.PRIMARIAS EX.ANTERIORES-PRINC.";"0,00";"13,69";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26267 - Universidade Federal da Integração Latino-Americana";"158658 - UNIV. FEDERAL DA INTEGRACAO-LATINO-AMERICANA";"2 - Receitas de Capital";"24 - Transferências de Capital";"242 - Transferências dos Estados e do Distrito Federal e de suas Entidades";"24200011 - TRANSF.DOS ESTADOS,DF E SUAS ENTIDADES-PRINC.";"234.440,00";"0,00";"0,00%";"0,00";
"2021";"81000 - Ministério dos Direitos Humanos e Cidadania";"30914 - Fundo Nacional do Idoso";"307002 - FUNDO NACIONAL DO IDOSO";"1 - Receitas Correntes";"17 - Transferências Correntes";"174 - Transferências de Instituições Privadas";"17400011 - TRANSFERENCIAS DE INSTITUICOES PRIVADAS-PRINC";"15.183.666,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"154048 - FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"399.229.998,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"154054 - FUNDACAO UNIVERS.FED. DE MATO GROSSO DO SUL";"2 - Receitas de Capital";"22 - Alienação de Bens";"221 - Alienação de bens móveis";"22130011 - ALIENACAO DE BENS MOVEIS E SEMOVENTES-PRINC.";"70.489,00";"0,00";"0,00%";"0,00";
"2021";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"115406 - EMPRESA BRASIL DE COMUNICACAO S.A";"1 - Receitas Correntes";"12 - Contribuições";"122 - Contribuições econômicas";"12201012 - CONTRIB.P/FOMENTO RADIODIFUSAO PUBL.-MUL.JUR.";"0,00";"19,67";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26000 - Ministério da Educação - Unidades com vínculo direto";"150014 - SUBSECRETARIA DE PLANEJ. E ORCAMENTO SPO(MEC)";"1 - Receitas Correntes";"13 - Receita Patrimonial";"134 - Exploração de recursos naturais";"13410321 - ROY.EXC.PETRO.PLAT-CM.ANT.3/12/12-P.SAL-PRINC";"917.938.736,00";"0,00";"0,00%";"0,00";
