"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"04/2023";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22211 - Companhia Nacional de Abastecimento";"549.292.777,31";"100.677.876,15";"89.136.188,86";"13.702.736,95";
"05/2023";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22211 - Companhia Nacional de Abastecimento";"59.264.715,83";"199.978.576,54";"189.339.253,31";"14.586.539,01";
"06/2023";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22211 - Companhia Nacional de Abastecimento";"149.460.643,50";"218.437.059,09";"103.084.916,82";"2.682.405,45";
"07/2023";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22211 - Companhia Nacional de Abastecimento";"416.103.932,29";"96.257.984,18";"206.465.569,47";"3.059.901,53";
"08/2023";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22211 - Companhia Nacional de Abastecimento";"79.260.017,71";"135.339.501,58";"130.931.600,99";"3.377.304,83";
"09/2023";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22211 - Companhia Nacional de Abastecimento";"120.129.541,35";"159.988.208,74";"138.226.795,36";"2.564.693,29";
"10/2023";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22211 - Companhia Nacional de Abastecimento";"383.339.405,06";"402.991.846,29";"355.522.585,25";"1.233.300,67";
"11/2023";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22211 - Companhia Nacional de Abastecimento";"460.342.332,79";"520.629.821,83";"501.310.295,58";"976.036,38";
"12/2023";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22211 - Companhia Nacional de Abastecimento";"460.104.771,01";"245.045.316,03";"313.773.609,38";"863.652,27";
"01/2023";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"8.252.546,15";"1.277.883,34";"362.421,87";"2.539.243,54";
"02/2023";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"2.140.952,84";"3.014.496,85";"2.916.115,06";"973.729,04";
"03/2023";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"2.399.684,20";"3.635.979,81";"3.334.248,71";"879.879,52";
"04/2023";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"34.582.259,67";"3.067.256,93";"3.260.170,29";"708.814,58";
"05/2023";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"5.905.099,77";"5.642.040,63";"5.042.360,76";"95.270,22";
"07/2023";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"871.374,74";"4.817.226,57";"5.008.714,35";"2.072,93";
"09/2023";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"- 86.845,22";"4.082.601,39";"3.745.840,26";"0,00";
"06/2023";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"- 870.514,13";"4.946.143,74";"5.095.792,01";"693.089,37";
"08/2023";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"1.679.942,07";"3.929.897,50";"3.994.483,11";"87.473,44";
"10/2023";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"4.012.292,33";"4.200.227,70";"4.213.315,13";"1.105,05";
"11/2023";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"3.242.036,81";"4.321.178,99";"4.480.814,23";"0,00";
"12/2023";"30000 - Ministério da Justiça e Segurança Pública";"30211 - Conselho Administrativo de Defesa Econômica";"1.948.697,67";"7.122.780,26";"7.201.634,46";"0,00";
"01/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"218.760.870,05";"17.807.154,68";"5.585.900,24";"22.327.688,79";
"02/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"64.557.690,35";"52.689.423,20";"49.684.693,64";"72.674.513,33";
"03/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"214.772.553,52";"135.434.660,25";"110.981.658,58";"67.711.607,21";
"04/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"106.929.201,26";"160.817.136,85";"105.522.346,48";"34.860.353,98";
"05/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"112.040.801,04";"120.240.315,54";"113.455.669,94";"62.414.493,38";
"06/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"162.467.446,13";"130.384.266,78";"116.705.116,87";"92.195.312,94";
"07/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"1.125.668.915,25";"224.079.710,11";"194.089.179,75";"66.566.484,37";
"08/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"42.744.923,74";"135.902.587,93";"122.823.996,06";"39.134.311,58";
"09/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"165.228.343,67";"283.417.234,46";"159.691.260,59";"34.314.178,63";
"10/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"106.494.337,73";"202.366.350,85";"308.939.577,33";"27.080.852,53";
"11/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"107.672.695,78";"305.266.825,24";"297.091.672,53";"27.618.427,26";
"12/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"756.865.984,64";"597.759.586,55";"515.958.852,67";"50.582.701,18";
"01/2023";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"1.146.259.647,30";"88.438.208,78";"29.560.213,41";"78.827.725,81";
"03/2023";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"12.620.801,50";"94.149.332,24";"92.937.471,88";"2.203.076,01";
"04/2023";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"36.611.188,09";"93.785.648,23";"94.220.877,72";"587.049,86";
"05/2023";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"22.289.173,64";"102.274.219,69";"82.580.770,32";"476.733,63";
"11/2023";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"13.430.622,05";"157.525.126,36";"121.077.484,78";"315.871,05";
"12/2023";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"47.468.714,87";"126.999.976,85";"142.862.608,53";"707.928,38";
"02/2023";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"4.439.281,65";"87.515.379,53";"88.909.786,61";"5.989.351,91";
"06/2023";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"69.715.937,84";"124.318.406,70";"101.474.801,27";"629.250,05";
"07/2023";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"2.523.743,34";"100.384.124,78";"122.521.026,90";"4.885.421,33";
"08/2023";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"8.794.942,22";"100.149.446,19";"100.188.278,14";"1.792.857,21";
"09/2023";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"- 15.213.518,04";"101.188.234,75";"102.516.130,58";"179.633,66";
"10/2023";"37000 - Controladoria-Geral da União";"37000 - Controladoria-Geral da União - Unidades com vínculo direto";"1.405.104,73";"101.649.837,36";"101.293.305,33";"273.600,45";
"01/2023";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"325.837.325,11";"60.478.134,81";"18.418.192,64";"618.099.777,30";
"02/2023";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"2.758.983.168,06";"78.748.220,85";"78.536.622,20";"502.437.456,99";
"03/2023";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"899.951.958,92";"238.129.656,45";"233.428.581,23";"705.946.963,24";
"04/2023";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"2.806.303.186,95";"394.052.905,29";"366.280.409,23";"504.621.559,58";
"05/2023";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"1.936.398.240,38";"736.878.116,62";"708.168.254,80";"536.006.484,00";
"06/2023";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"1.730.627.730,44";"939.008.634,89";"933.638.211,35";"429.910.268,46";
"07/2023";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"1.009.703.569,70";"1.124.063.020,53";"1.098.827.360,33";"288.805.276,58";
"08/2023";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"994.007.217,34";"1.345.625.795,05";"1.351.257.263,92";"304.873.260,44";
"09/2023";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"376.104.291,86";"1.176.943.384,19";"1.165.095.569,03";"185.879.844,91";
"10/2023";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"316.443.580,16";"1.212.832.110,65";"1.236.922.436,95";"122.794.699,51";
"11/2023";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"1.707.567.494,15";"1.340.262.528,00";"1.170.486.777,03";"119.962.546,21";
"12/2023";"39000 - Ministério dos Transportes";"39252 - Departamento Nacional de Infraestrutura de Transportes";"1.136.602.175,06";"1.769.050.497,47";"1.895.936.589,67";"85.698.137,13";
"03/2023";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"81.691.032,37";"67.480.790,03";"63.286.462,33";"1.130.742,53";
"01/2023";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"54.872.482,61";"51.087.460,08";"5.609.249,70";"62.930.980,99";
"02/2023";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"56.035.691,67";"51.688.750,70";"51.334.099,97";"7.523.822,11";
"04/2023";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"61.609.320,24";"67.236.473,33";"64.183.428,60";"48.843.229,78";
"05/2023";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"85.242.867,74";"61.039.172,65";"61.151.575,68";"17.408.859,77";
"06/2023";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"131.362.408,24";"84.966.504,25";"56.199.650,50";"39.723.179,67";
"07/2023";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"58.527.739,19";"116.169.484,57";"100.154.409,76";"9.962.570,09";
"08/2023";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"63.691.694,29";"62.893.588,29";"66.983.954,47";"22.332.663,20";
"09/2023";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"116.769.588,07";"57.112.159,89";"64.297.360,79";"7.382.198,88";
"10/2023";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"62.853.404,75";"58.546.251,39";"73.902.832,36";"6.180.288,97";
"11/2023";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"182.418.061,08";"93.757.210,60";"77.676.107,87";"18.702.347,21";
"12/2023";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"483.044.404,07";"64.246.127,76";"94.651.858,55";"26.756.785,63";
"01/2023";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"388.358.962,58";"33.879.204,19";"3.293.365,24";"23.450.374,67";
"02/2023";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"286.725.656,92";"44.705.837,65";"37.171.157,49";"5.845.177,19";
"03/2023";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"- 271.140.499,85";"43.519.541,65";"50.958.169,73";"6.376.993,99";
"04/2023";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"23.245.243,85";"39.879.993,84";"39.426.247,45";"2.190.926,87";
"05/2023";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"15.128.685,32";"42.913.936,16";"38.617.729,00";"1.000.117,61";
"06/2023";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"8.085.357,98";"83.169.788,35";"42.809.262,40";"3.563.139,72";
"07/2023";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"16.092.041,27";"48.730.436,60";"86.118.705,80";"1.841.739,59";
"08/2023";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"12.234.256,06";"50.485.025,85";"51.385.210,98";"1.107.268,22";
"09/2023";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"13.787.110,93";"46.858.323,21";"46.177.800,75";"1.295.184,55";
"10/2023";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"69.779.011,18";"55.594.087,57";"54.686.922,71";"8.710,08";
"11/2023";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"67.066.588,62";"74.716.218,56";"50.032.142,64";"27.309,19";
"12/2023";"20000 - Presidência da República";"20415 - Empresa Brasil de Comunicação";"41.689.261,27";"63.054.601,59";"92.256.376,49";"791.452,88";
"01/2023";"22000 - Ministério da Agricultura e Pecuária";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"3.267.698.039,87";"241.836.732,73";"27.973.045,56";"237.366.183,07";
"02/2023";"22000 - Ministério da Agricultura e Pecuária";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"14.726.056,67";"252.471.701,03";"260.672.265,58";"35.200.743,08";
"03/2023";"22000 - Ministério da Agricultura e Pecuária";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"18.287.983,12";"253.457.516,17";"247.190.820,98";"31.646.419,82";
"04/2023";"22000 - Ministério da Agricultura e Pecuária";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"29.258.439,30";"558.633.885,01";"231.772.354,32";"33.068.617,78";
"05/2023";"22000 - Ministério da Agricultura e Pecuária";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"40.182.168,08";"271.897.006,47";"524.037.986,27";"15.161.485,11";
"06/2023";"22000 - Ministério da Agricultura e Pecuária";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"9.486.106,70";"353.899.988,57";"299.323.602,21";"21.119.391,95";
"07/2023";"22000 - Ministério da Agricultura e Pecuária";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"9.814.285,36";"267.944.703,06";"350.224.611,60";"13.415.720,04";
"08/2023";"22000 - Ministério da Agricultura e Pecuária";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"58.321.146,07";"312.242.644,95";"249.519.320,14";"20.227.314,83";
"09/2023";"22000 - Ministério da Agricultura e Pecuária";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"- 26.016.559,03";"296.994.496,87";"289.505.941,04";"4.183.388,41";
"10/2023";"22000 - Ministério da Agricultura e Pecuária";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"74.885.655,94";"301.062.258,38";"310.046.776,75";"4.996.809,93";
"11/2023";"22000 - Ministério da Agricultura e Pecuária";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"493.353.880,68";"535.645.297,79";"302.292.758,39";"2.011.385,17";
"12/2023";"22000 - Ministério da Agricultura e Pecuária";"22202 - Empresa Brasileira de Pesquisa Agropecuária";"206.250.760,95";"329.193.785,92";"508.318.996,95";"8.004.995,99";
"01/2023";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"6.118.456.015,88";"444.663.612,94";"88.995.269,90";"1.094.818.306,90";
"02/2023";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"173.684.533,36";"618.215.346,87";"502.782.317,96";"124.677.289,47";
"03/2023";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"356.348.006,86";"703.467.890,91";"787.315.815,61";"121.152.554,50";
"04/2023";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"254.572.303,78";"693.773.629,52";"612.920.374,84";"43.102.481,31";
"05/2023";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"239.556.194,94";"782.669.147,02";"739.539.312,29";"46.069.805,43";
"06/2023";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"245.555.511,61";"911.874.836,25";"728.007.687,56";"31.097.638,20";
"07/2023";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"180.665.733,90";"774.860.066,73";"921.388.688,26";"17.090.289,91";
"08/2023";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"309.243.166,44";"910.405.062,10";"801.747.988,69";"18.876.001,44";
"09/2023";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"264.071.352,73";"802.347.887,14";"856.443.840,36";"12.579.419,33";
"10/2023";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"790.510.233,73";"785.438.519,45";"795.397.983,95";"8.471.613,74";
"11/2023";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"933.542.252,78";"1.089.166.256,48";"827.404.433,84";"9.140.126,79";
"12/2023";"26000 - Ministério da Educação";"26443 - Empresa Brasileira de Serviços Hospitalares";"549.872.337,65";"1.018.345.710,61";"1.175.906.758,51";"10.573.995,81";
"01/2023";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"101.527.941,33";"8.311.907,60";"1.171.505,73";"8.054.525,94";
"02/2023";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"4.857.838,89";"7.752.112,37";"9.012.155,29";"2.106.803,50";
"03/2023";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"- 2.556.390,13";"12.831.376,88";"12.013.851,52";"80.152,56";
"04/2023";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"19.157.303,29";"8.508.835,03";"8.785.924,45";"24.758,75";
"05/2023";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"1.039.828,15";"9.526.365,28";"9.414.954,55";"0,00";
"06/2023";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"1.161.716,92";"11.523.411,91";"9.193.012,14";"0,00";
"07/2023";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"443.774,98";"7.523.133,66";"9.941.329,62";"29.250,00";
"08/2023";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"1.223.040,97";"9.518.794,67";"8.901.012,80";"193,00";
"09/2023";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"1.360.177,90";"8.961.608,65";"9.406.547,46";"180.000,00";
"10/2023";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"3.687.080,32";"9.394.901,28";"9.355.987,51";"0,00";
"11/2023";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"- 1.909.558,04";"9.684.365,92";"8.924.015,90";"0,00";
"12/2023";"32000 - Ministério de Minas e Energia";"32314 - Empresa de Pesquisa Energética";"6.597.743,27";"16.171.393,49";"17.518.414,31";"84.986,00";
"01/2023";"56000 - Ministério das Cidades";"29205 - Empresa de Trens Urbanos de Porto Alegre";"21.906.957,28";"18.321.386,13";"4.360.087,41";"15.167.299,17";
"02/2023";"56000 - Ministério das Cidades";"29205 - Empresa de Trens Urbanos de Porto Alegre";"23.329.335,90";"22.064.246,75";"19.408.577,49";"5.493.396,53";
"03/2023";"56000 - Ministério das Cidades";"29205 - Empresa de Trens Urbanos de Porto Alegre";"25.035.131,66";"25.200.768,03";"25.677.367,68";"4.140.526,19";
"04/2023";"56000 - Ministério das Cidades";"29205 - Empresa de Trens Urbanos de Porto Alegre";"25.662.247,73";"23.794.897,00";"21.690.109,79";"1.787.175,89";
"05/2023";"56000 - Ministério das Cidades";"29205 - Empresa de Trens Urbanos de Porto Alegre";"22.176.541,30";"25.613.384,05";"25.934.060,04";"848.680,04";
"06/2023";"56000 - Ministério das Cidades";"29205 - Empresa de Trens Urbanos de Porto Alegre";"29.058.192,08";"28.062.070,15";"20.216.069,35";"528.030,65";
"07/2023";"56000 - Ministério das Cidades";"29205 - Empresa de Trens Urbanos de Porto Alegre";"44.966.225,42";"47.538.904,19";"51.446.798,88";"811.182,46";
"08/2023";"56000 - Ministério das Cidades";"29205 - Empresa de Trens Urbanos de Porto Alegre";"25.842.837,92";"27.687.916,27";"22.769.410,50";"880.148,21";
"09/2023";"56000 - Ministério das Cidades";"29205 - Empresa de Trens Urbanos de Porto Alegre";"29.436.107,56";"25.555.795,27";"29.853.974,40";"273.610,76";
"10/2023";"56000 - Ministério das Cidades";"29205 - Empresa de Trens Urbanos de Porto Alegre";"25.760.362,74";"29.333.140,94";"27.464.213,05";"11.812,22";
"11/2023";"56000 - Ministério das Cidades";"29205 - Empresa de Trens Urbanos de Porto Alegre";"30.018.914,71";"28.290.587,35";"26.811.063,85";"12.928,44";
"12/2023";"56000 - Ministério das Cidades";"29205 - Empresa de Trens Urbanos de Porto Alegre";"33.454.269,91";"32.758.620,89";"39.105.374,25";"985.778,96";
"01/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20502 - Financiadora de Estudos e Projetos";"16.473,04";"0,00";"0,00";"0,00";
"02/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20502 - Financiadora de Estudos e Projetos";"78.624,29";"95.097,33";"95.097,33";"0,00";
"03/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20502 - Financiadora de Estudos e Projetos";"29.155,61";"29.155,61";"29.155,61";"0,00";
"04/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20502 - Financiadora de Estudos e Projetos";"18.649,56";"18.649,56";"18.649,56";"0,00";
"05/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20502 - Financiadora de Estudos e Projetos";"29.404,42";"29.404,42";"29.404,42";"0,00";
"07/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20502 - Financiadora de Estudos e Projetos";"1.291.144,78";"1.288.893,28";"1.288.893,28";"0,00";
"08/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20502 - Financiadora de Estudos e Projetos";"1.113.149,11";"1.115.400,61";"1.115.400,61";"0,00";
"09/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20502 - Financiadora de Estudos e Projetos";"70.815,99";"70.815,99";"0,00";"0,00";
"10/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20502 - Financiadora de Estudos e Projetos";"215.600,16";"215.600,16";"107.740,67";"0,00";
"11/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20502 - Financiadora de Estudos e Projetos";"527.573,30";"527.573,30";"706.248,78";"0,00";
"01/2023";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"9.131.418,49";"616.372,91";"184.381,70";"607.469,93";
"02/2023";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"1.626.047,06";"878.813,36";"853.456,32";"42.838,65";
"03/2023";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"- 1.987.212,72";"899.723,09";"885.041,55";"9.932,09";
"04/2023";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"1.529.147,20";"981.216,33";"978.198,32";"0,00";
"05/2023";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"152.308,18";"1.169.360,11";"1.046.561,41";"243.778,32";
"06/2023";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"241.163,90";"1.299.248,00";"1.091.864,50";"19.876,77";
"07/2023";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"110.294,99";"1.130.997,26";"1.279.582,29";"0,00";
"08/2023";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"1.925.254,26";"1.169.315,39";"1.088.099,02";"0,00";
"09/2023";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"271.211,39";"1.131.407,94";"1.206.237,11";"0,00";
"10/2023";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"363.333,68";"1.242.089,10";"1.233.718,37";"0,00";
"11/2023";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"972.292,45";"1.722.813,25";"1.475.287,43";"0,00";
"12/2023";"35000 - Ministério das Relações Exteriores";"35201 - Fundação Alexandre de Gusmão";"409.835,01";"1.661.928,32";"1.657.105,13";"0,00";
"02/2023";"42000 - Ministério da Cultura";"20404 - Fundação Biblioteca Nacional";"13.218.682,76";"5.606.860,74";"5.580.533,62";"1.425.357,71";
"03/2023";"42000 - Ministério da Cultura";"20404 - Fundação Biblioteca Nacional";"57.758.366,07";"9.622.092,84";"9.778.111,11";"1.776.842,26";
"04/2023";"42000 - Ministério da Cultura";"20404 - Fundação Biblioteca Nacional";"24.236.742,35";"7.754.346,91";"7.221.354,95";"21.949,08";
"05/2023";"42000 - Ministério da Cultura";"20404 - Fundação Biblioteca Nacional";"2.625.152,76";"9.392.172,36";"9.623.482,84";"286.647,74";
"07/2023";"42000 - Ministério da Cultura";"20404 - Fundação Biblioteca Nacional";"165.041,67";"8.570.917,80";"10.601.118,46";"426.530,27";
"08/2023";"42000 - Ministério da Cultura";"20404 - Fundação Biblioteca Nacional";"1.047.950,00";"8.672.959,63";"8.666.392,67";"44.999,80";
"09/2023";"42000 - Ministério da Cultura";"20404 - Fundação Biblioteca Nacional";"583.087,53";"8.515.332,69";"7.852.153,94";"70.983,32";
"10/2023";"42000 - Ministério da Cultura";"20404 - Fundação Biblioteca Nacional";"113.318,60";"8.713.414,32";"8.659.146,84";"82.273,31";
"11/2023";"42000 - Ministério da Cultura";"20404 - Fundação Biblioteca Nacional";"3.210.176,43";"12.101.422,81";"9.838.967,80";"24.616,60";
"12/2023";"42000 - Ministério da Cultura";"20404 - Fundação Biblioteca Nacional";"25.515.522,97";"10.497.643,31";"11.685.275,24";"62.980,35";
