"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"06/2023";"12 - Educação";"694 - Serviços financeiros";"0,00";"445.626.991,59";"437.735.657,64";"677.202,80";
"06/2023";"20 - Agricultura";"608 - Promoção da produção agropecuária";"567.330.739,62";"430.120.070,86";"374.787.857,85";"241.554.900,56";
"06/2023";"18 - Gestão ambiental";"544 - Recursos hídricos";"283.194.347,39";"44.854.574,66";"71.685.975,44";"94.315.139,77";
"06/2023";"26 - Transporte";"125 - Normatização e fiscalização";"7.857.853,41";"15.295.737,83";"13.449.505,15";"7.750.126,65";
"06/2023";"15 - Urbanismo";"244 - Assistência comunitária";"0,00";"0,00";"0,00";"423.997.550,50";
"06/2023";"15 - Urbanismo";"451 - infra-estrutura urbana";"50.000.000,00";"0,00";"0,00";"72.450.674,14";
"06/2023";"06 - Segurança pública";"182 - Defesa civil";"92.245.709,00";"48.446.373,14";"45.494.524,04";"11.647.488,70";
"06/2023";"13 - Cultura";"846 - Outros encargos especiais";"1.135.823,00";"5.592.285,83";"5.623.673,44";"0,00";
"06/2023";"16 - Habitação";"482 - Habitação urbana";"13.333,34";"13.333,34";"13.333,34";"0,00";
"06/2023";"25 - Energia";"572 - Desenvolvimento tecnológico e engenharia";"- 22.128,06";"5.982.398,67";"5.917.338,40";"388.595,14";
"06/2023";"28 - Encargos especiais";"844 - Serviço da dívida externa";"1.781.895.563,65";"1.781.895.563,65";"1.781.895.563,65";"0,00";
"06/2023";"16 - Habitação";"451 - infra-estrutura urbana";"0,00";"0,00";"0,00";"0,00";
"06/2023";"13 - Cultura";"331 - Proteção e benefícios ao trabalhador";"1.855.120,06";"2.919.209,70";"2.954.067,04";"0,00";
"06/2023";"04 - Administração";"124 - Controle interno";"1.574.505,74";"8.249.164,29";"8.761.472,32";"886.911,07";
"06/2023";"01 - Legislativa";"032 - Controle externo";"136.032,32";"253.090,94";"241.658,41";"0,00";
"06/2023";"12 - Educação";"573 - Difusão do conhecimento científico e tecnológico";"69.883.623,24";"72.781.987,95";"72.791.021,44";"- 3.895,44";
"06/2023";"05 - Defesa nacional";"152 - Defesa naval";"211.103.082,80";"105.157.932,52";"125.358.458,98";"70.461.206,15";
"06/2023";"10 - Saúde";"846 - Outros encargos especiais";"0,00";"82.862.335,40";"82.862.335,40";"0,00";
"06/2023";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"0,00";"0,00";"0,00";"2.000.000,00";
"06/2023";"28 - Encargos especiais";"845 - Outras transferências";"11.115.720.987,86";"28.907.959.841,19";"28.540.255.114,43";"489.278.497,72";
"06/2023";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"957.985,55";"3.570.583,90";"3.734.077,67";"1.563.612,37";
"06/2023";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"15.456.337,88";"4.415.294,21";"3.566.402,98";"3.903.824,90";
"06/2023";"22 - Indústria";"846 - Outros encargos especiais";"4.763.950,01";"8.829.007,25";"8.829.341,69";"0,00";
"06/2023";"14 - Direitos da cidadania";"122 - Administração geral";"11.460.381,40";"40.192.186,14";"33.047.104,48";"964.057,73";
"06/2023";"10 - Saúde";"125 - Normatização e fiscalização";"1.830.167,58";"1.476.897,48";"1.481.736,11";"411.868,47";
"06/2023";"04 - Administração";"122 - Administração geral";"934.197.400,24";"1.974.958.087,74";"1.650.792.052,69";"114.021.959,13";
"06/2023";"10 - Saúde";"121 - Planejamento e orçamento";"12.122.931,99";"10.433.232,18";"68.343,06";"168.556,29";
"06/2023";"04 - Administração";"846 - Outros encargos especiais";"97.190.887,26";"161.441.018,70";"161.425.221,56";"0,00";
"06/2023";"10 - Saúde";"124 - Controle interno";"0,00";"44.428,45";"44.168,88";"0,00";
"06/2023";"10 - Saúde";"306 - Alimentação e nutrição";"1.632.164,26";"1.641.346,18";"141.346,18";"381.039,00";
"06/2023";"10 - Saúde";"131 - Comunicação social";"56.385.000,00";"20.967.536,84";"21.486.410,34";"6.949.452,23";
"06/2023";"14 - Direitos da cidadania";"422 - Direitos individuais, coletivos e difusos";"33.966.745,14";"14.511.234,28";"13.806.974,92";"14.650.577,53";
"06/2023";"21 - Organização agrária";"606 - Extensão rural";"8.195.560,96";"687.132,53";"665.757,77";"52.606,38";
"06/2023";"10 - Saúde";"571 - Desenvolvimento científico";"126.343.550,05";"82.568.518,98";"68.854.939,71";"21.012.078,66";
"06/2023";"10 - Saúde";"304 - Vigilância sanitária";"10.464.365,90";"29.242.610,61";"28.313.102,73";"107.647,06";
"06/2023";"04 - Administração";"331 - Proteção e benefícios ao trabalhador";"54.453.578,23";"97.886.731,01";"100.175.384,24";"0,00";
"06/2023";"10 - Saúde";"305 - Vigilância epidemiológica";"527.898.265,14";"496.837.926,63";"434.751.743,91";"109.313.622,34";
"06/2023";"10 - Saúde";"511 - Saneamento básico rural";"6.182.725,07";"5.757.507,86";"5.826.596,22";"623.254,12";
"06/2023";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.729.321.035,19";"1.568.162.691,64";"1.682.555.931,65";"281.103.318,66";
"06/2023";"10 - Saúde";"423 - Assistência aos povos indígenas";"208.668.028,68";"86.906.190,99";"85.264.690,73";"5.611.908,90";
"06/2023";"10 - Saúde";"126 - Tecnologia da informação";"6.823.004,55";"15.386.866,56";"23.925.877,89";"2.294.414,47";
"06/2023";"10 - Saúde";"301 - Atenção básica";"3.303.068.898,48";"4.010.487.488,52";"4.012.102.771,75";"68.465.200,45";
"06/2023";"26 - Transporte";"846 - Outros encargos especiais";"107.624,00";"15.756.809,05";"15.744.531,21";"0,00";
"06/2023";"22 - Indústria";"664 - Propriedade industrial";"0,00";"706.743,28";"578.664,77";"2.016.121,00";
"06/2023";"05 - Defesa nacional";"121 - Planejamento e orçamento";"16.335,77";"87.686,96";"79.784,29";"119.185,95";
"06/2023";"26 - Transporte";"331 - Proteção e benefícios ao trabalhador";"3.413.058,19";"7.947.568,55";"7.965.134,69";"0,00";
"06/2023";"12 - Educação";"368 - Educação básica";"188.250.790,34";"241.257.074,80";"228.770.640,30";"229.008.284,99";
"06/2023";"05 - Defesa nacional";"303 - Suporte profilático e terapêutico";"0,00";"67.540,00";"125.540,42";"0,00";
"06/2023";"05 - Defesa nacional";"151 - Defesa aérea";"- 348.942.317,97";"365.613.914,44";"393.799.813,30";"296.478.507,47";
"06/2023";"26 - Transporte";"126 - Tecnologia da informação";"1.834.002,41";"13.324.390,62";"10.602.929,02";"11.551.877,36";
"06/2023";"05 - Defesa nacional";"573 - Difusão do conhecimento científico e tecnológico";"86.858,65";"43.163,91";"34.416,03";"14.349,98";
"06/2023";"05 - Defesa nacional";"366 - Educação de jovens e adultos";"1.106.941,62";"26.047,64";"26.047,64";"37.683,47";
"06/2023";"05 - Defesa nacional";"542 - Controle ambiental";"254.378,80";"2.609.184,43";"2.672.539,70";"2.324.678,52";
"06/2023";"26 - Transporte";"783 - Transporte ferroviário";"75.612.343,56";"897.463,96";"908.168,40";"10.126.062,51";
"06/2023";"05 - Defesa nacional";"423 - Assistência aos povos indígenas";"5.264.391,70";"25.375.394,41";"26.004.466,21";"0,00";
"06/2023";"05 - Defesa nacional";"572 - Desenvolvimento tecnológico e engenharia";"68.180.380,54";"36.690.382,59";"17.539.033,43";"5.508.357,19";
"06/2023";"05 - Defesa nacional";"333 - Empregabilidade";"1.051.914,47";"12.079,88";"11.727,30";"184.311,05";
"06/2023";"05 - Defesa nacional";"482 - Habitação urbana";"2.126.290,84";"11.644.036,54";"11.642.169,06";"11.296.082,79";
"06/2023";"26 - Transporte";"784 - Transporte hidroviário";"263.864.595,57";"84.608.079,29";"86.704.836,32";"8.675.628,49";
"06/2023";"26 - Transporte";"121 - Planejamento e orçamento";"34.249.607,44";"3.744.845,58";"7.506.668,22";"23.858.016,61";
"06/2023";"05 - Defesa nacional";"212 - Cooperação internacional";"876.162,91";"711.770,97";"781.408,07";"407.518,74";
"06/2023";"05 - Defesa nacional";"811 - Desporto de rendimento";"334.110,27";"174.555,16";"50.185,01";"10.231,45";
"06/2023";"05 - Defesa nacional";"125 - Normatização e fiscalização";"10.761.985,08";"11.314.571,71";"10.410.682,53";"3.409.050,86";
"06/2023";"26 - Transporte";"782 - Transporte rodoviário";"1.354.709.998,97";"828.404.564,81";"835.264.057,96";"404.020.354,52";
"06/2023";"05 - Defesa nacional";"722 - Telecomunicações";"3.732.771,32";"37.912,39";"45.570,85";"4.953.224,65";
"06/2023";"26 - Transporte";"122 - Administração geral";"179.771.953,49";"180.277.307,53";"152.503.863,90";"12.410.343,81";
"06/2023";"04 - Administração";"125 - Normatização e fiscalização";"41.829.356,50";"22.650.876,31";"26.771.188,74";"22.600.607,57";
"06/2023";"07 - Relações exteriores";"301 - Atenção básica";"0,00";"0,00";"0,00";"0,00";
"06/2023";"06 - Segurança pública";"301 - Atenção básica";"0,00";"0,00";"0,00";"249.824,78";
"06/2023";"18 - Gestão ambiental";"846 - Outros encargos especiais";"15.016.903,42";"14.800.187,31";"14.851.751,82";"0,00";
"06/2023";"22 - Indústria";"301 - Atenção básica";"0,00";"0,00";"0,00";"10.489,29";
"06/2023";"05 - Defesa nacional";"812 - Desporto comunitário";"245.002,42";"53.731,58";"29.687,74";"625.517,72";
"06/2023";"12 - Educação";"122 - Administração geral";"53.983.836,85";"108.820.797,85";"92.793.613,47";"5.605.569,47";
"06/2023";"19 - Ciência e Tecnologia";"122 - Administração geral";"178.306.829,53";"137.251.627,20";"120.895.762,18";"4.717.492,59";
"06/2023";"13 - Cultura";"391 - Patrimônio histórico, artístico e arqueológico";"1.880.053,71";"753.912,91";"725.312,60";"5.379.667,96";
"06/2023";"22 - Indústria";"661 - Promoção industrial";"657.898,80";"263.024,62";"241.100,83";"292.246,52";
"06/2023";"19 - Ciência e Tecnologia";"331 - Proteção e benefícios ao trabalhador";"9.475.074,00";"8.597.278,81";"8.538.864,17";"0,00";
"06/2023";"18 - Gestão ambiental";"695 - Turismo";"0,00";"0,00";"0,00";"15.973,13";
"06/2023";"10 - Saúde";"128 - Formação de recursos humanos";"389.976.366,72";"141.840.692,15";"132.406.483,39";"1.830.475,38";
"06/2023";"06 - Segurança pública";"331 - Proteção e benefícios ao trabalhador";"4.231.249,63";"35.741.183,76";"36.472.096,23";"0,00";
"06/2023";"06 - Segurança pública";"846 - Outros encargos especiais";"0,00";"114.445.542,69";"114.445.542,69";"10.261,80";
"06/2023";"23 - Comércio e serviços";"693 - Comércio exterior";"284.000,00";"51.144.479,19";"51.055.436,01";"1.381.699,74";
"06/2023";"07 - Relações exteriores";"846 - Outros encargos especiais";"2.577.930,00";"10.463.961,92";"10.463.961,92";"10.362,32";
"06/2023";"22 - Indústria";"128 - Formação de recursos humanos";"338.589,44";"267.974,86";"120.934,64";"0,00";
"06/2023";"10 - Saúde";"122 - Administração geral";"236.469.016,69";"781.678.645,09";"631.339.113,20";"3.620.364,45";
"06/2023";"22 - Indústria";"331 - Proteção e benefícios ao trabalhador";"17.202.898,06";"7.597.151,36";"6.361.167,29";"0,00";
"06/2023";"12 - Educação";"128 - Formação de recursos humanos";"3.929.653,13";"2.741.866,68";"3.057.354,14";"1.206.826,77";
"06/2023";"23 - Comércio e serviços";"691 - Promoção comercial";"345.915,00";"0,00";"0,00";"417.341,83";
"06/2023";"19 - Ciência e Tecnologia";"572 - Desenvolvimento tecnológico e engenharia";"144.228.517,57";"121.765.221,96";"268.541.590,16";"85.474.378,84";
"06/2023";"07 - Relações exteriores";"128 - Formação de recursos humanos";"493.643,77";"480.205,36";"65.851,84";"30.000,00";
"06/2023";"07 - Relações exteriores";"691 - Promoção comercial";"690.185,04";"593.387,47";"606.989,98";"130.387,49";
"06/2023";"22 - Indústria";"544 - Recursos hídricos";"350.856,69";"438.262,27";"448.931,32";"271.562,97";
"06/2023";"07 - Relações exteriores";"212 - Cooperação internacional";"20.365.959,63";"422.626,52";"426.652,27";"- 4.007,53";
"06/2023";"22 - Indústria";"126 - Tecnologia da informação";"796.644,82";"3.324.493,75";"3.290.525,70";"347.011,75";
"06/2023";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"13.769.179,27";"65.808.464,05";"65.764.724,81";"0,00";
"06/2023";"12 - Educação";"364 - Ensino superior";"1.996.377.244,76";"3.605.996.549,11";"2.779.164.320,66";"147.736.575,27";
"06/2023";"22 - Indústria";"182 - Defesa civil";"1.011.141,46";"1.008.997,56";"1.027.512,36";"0,00";
"06/2023";"12 - Educação";"363 - Ensino profissional";"798.161.776,98";"1.384.842.306,00";"1.065.241.088,13";"68.034.469,58";
"06/2023";"22 - Indústria";"663 - Mineração";"6.720.858,00";"5.448.986,89";"4.871.234,49";"134.841,73";
"06/2023";"22 - Indústria";"122 - Administração geral";"72.705.398,56";"110.332.230,83";"103.504.257,14";"3.818.375,39";
"06/2023";"07 - Relações exteriores";"331 - Proteção e benefícios ao trabalhador";"86.497.439,12";"86.275.103,15";"86.310.789,28";"0,00";
"06/2023";"07 - Relações exteriores";"392 - Difusão cultural";"2.039.983,50";"3.539.230,49";"3.490.010,47";"224.798,79";
"06/2023";"07 - Relações exteriores";"122 - Administração geral";"142.406.436,72";"164.274.504,34";"157.594.885,01";"1.572.486,29";
"06/2023";"07 - Relações exteriores";"211 - Relações diplomáticas";"7.505.784,95";"56.411.470,60";"54.637.313,51";"- 666.869,47";
"06/2023";"06 - Segurança pública";"122 - Administração geral";"109.735.667,83";"750.048.672,50";"640.471.273,26";"6.693.541,64";
"06/2023";"06 - Segurança pública";"181 - Policiamento";"169.109.818,46";"101.205.898,68";"92.934.277,49";"72.471.418,83";
"06/2023";"22 - Indústria";"127 - Ordenamento territorial";"124.311,76";"89.693,62";"93.183,29";"305.986,72";
"06/2023";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"6.349.331.278,18";"7.027.112.943,65";"7.067.114.607,75";"183.075.437,31";
"06/2023";"05 - Defesa nacional";"846 - Outros encargos especiais";"7.215.555,09";"20.338.569,79";"20.338.569,79";"0,00";
"06/2023";"13 - Cultura";"122 - Administração geral";"22.634.515,94";"63.187.789,94";"48.837.757,73";"918.782,91";
"06/2023";"18 - Gestão ambiental";"543 - Recuperação de áreas degradadas";"- 447.137,72";"1.422.410,70";"722.316,37";"225.265,77";
"06/2023";"18 - Gestão ambiental";"331 - Proteção e benefícios ao trabalhador";"7.114.409,49";"5.234.306,19";"5.225.666,76";"0,00";
"06/2023";"12 - Educação";"846 - Outros encargos especiais";"325.130.345,88";"676.381.696,89";"668.330.645,11";"1.101,75";
"06/2023";"18 - Gestão ambiental";"128 - Formação de recursos humanos";"55.213,93";"92.551,91";"87.263,58";"512.096,00";
"06/2023";"18 - Gestão ambiental";"542 - Controle ambiental";"38.851.482,22";"6.799.246,90";"3.260.436,06";"1.961.689,06";
"06/2023";"20 - Agricultura";"301 - Atenção básica";"0,00";"0,00";"0,00";"8.457.528,35";
"06/2023";"20 - Agricultura";"331 - Proteção e benefícios ao trabalhador";"10.841,60";"14.363.083,08";"20.385.595,00";"0,00";
"06/2023";"05 - Defesa nacional";"126 - Tecnologia da informação";"11.607.955,28";"1.308.821,73";"1.282.974,07";"5.773.326,58";
"06/2023";"09 - Previdência social";"272 - Previdência do regime estatutário";"2.309.634.494,32";"11.920.805.286,32";"7.912.849.358,82";"1.865,00";
"06/2023";"12 - Educação";"331 - Proteção e benefícios ao trabalhador";"157.872.293,09";"303.197.778,31";"301.995.406,86";"0,00";
"06/2023";"13 - Cultura";"392 - Difusão cultural";"179.213.750,01";"166.173.075,64";"16.593.057,52";"14.868.698,48";
"06/2023";"20 - Agricultura";"605 - Abastecimento";"2.995.949,14";"367.853.915,55";"369.623.275,11";"2.694.127,10";
"06/2023";"28 - Encargos especiais";"846 - Outros encargos especiais";"3.823.937.605,84";"5.415.121.190,81";"5.380.418.681,23";"149.887.008,36";
"06/2023";"20 - Agricultura";"122 - Administração geral";"25.998.709,84";"467.833.030,05";"366.568.633,59";"2.654.783,95";
"06/2023";"05 - Defesa nacional";"131 - Comunicação social";"384.507,88";"46.662,00";"46.662,00";"28.652,30";
"06/2023";"05 - Defesa nacional";"244 - Assistência comunitária";"149.515.760,28";"223.743,69";"226.421,43";"40.297.509,16";
"06/2023";"18 - Gestão ambiental";"122 - Administração geral";"43.733.798,41";"125.187.103,71";"83.842.510,71";"1.870.158,83";
"06/2023";"05 - Defesa nacional";"183 - Informação e inteligência";"144.795,69";"301.282,88";"320.557,70";"44.307,94";
"06/2023";"05 - Defesa nacional";"781 - Transporte aéreo";"5.766.000,94";"250.682,05";"250.682,05";"600.486,84";
"06/2023";"05 - Defesa nacional";"364 - Ensino superior";"1.195.724,51";"674.894,02";"581.366,82";"332.201,08";
"06/2023";"18 - Gestão ambiental";"541 - Preservação e conservação ambiental";"47.528.470,40";"18.842.039,26";"16.141.760,04";"6.458.907,85";
"06/2023";"12 - Educação";"302 - Assistência hospitalar e ambulatorial";"339.113.333,67";"1.164.670.443,65";"841.760.197,73";"29.248.865,19";
"06/2023";"05 - Defesa nacional";"128 - Formação de recursos humanos";"23.257.267,47";"12.619.986,52";"12.525.737,82";"3.100.070,02";
"06/2023";"20 - Agricultura";"573 - Difusão do conhecimento científico e tecnológico";"742.359,46";"641.049,57";"321.874,37";"898.110,27";
"06/2023";"05 - Defesa nacional";"368 - Educação básica";"5.871.094,13";"3.147.739,21";"3.036.692,69";"332.814,35";
"06/2023";"05 - Defesa nacional";"301 - Atenção básica";"5.235.730,74";"1.824.674,96";"176.408,06";"59.824.474,70";
"06/2023";"05 - Defesa nacional";"122 - Administração geral";"1.927.424.363,56";"7.077.576.782,83";"5.073.545.786,16";"53.775.475,64";
"06/2023";"20 - Agricultura";"572 - Desenvolvimento tecnológico e engenharia";"8.156.019,57";"13.700.132,11";"11.840.115,44";"11.330.080,32";
"06/2023";"05 - Defesa nacional";"331 - Proteção e benefícios ao trabalhador";"645.101.005,87";"669.592.956,02";"657.077.981,40";"43.284.355,88";
"06/2023";"05 - Defesa nacional";"153 - Defesa terrestre";"274.879.870,91";"90.219.561,19";"77.961.286,59";"129.059.946,14";
"07/2023";"06 - Segurança pública";"301 - Atenção básica";"0,00";"0,00";"0,00";"0,00";
"07/2023";"14 - Direitos da cidadania";"243 - Assistência à criança e ao adolescente";"0,00";"0,00";"0,00";"5.635,00";
"07/2023";"14 - Direitos da cidadania";"131 - Comunicação social";"0,00";"0,00";"0,00";"0,00";
"07/2023";"26 - Transporte";"301 - Atenção básica";"0,00";"0,00";"0,00";"- 6.809,88";
"07/2023";"25 - Energia";"130 - Administração de concessões";"- 314.781,74";"2.793.303,27";"2.605.051,88";"37.926,92";
"07/2023";"25 - Energia";"665 - Normalização e qualidade";"- 165.000,00";"1.476.386,21";"1.487.138,69";"0,00";
"07/2023";"27 - Desporto e lazer";"122 - Administração geral";"0,00";"0,00";"0,00";"0,00";
"07/2023";"10 - Saúde";"512 - Saneamento básico urbano";"- 267.717,54";"0,00";"0,00";"0,00";
"07/2023";"10 - Saúde";"541 - Preservação e conservação ambiental";"- 34.088,33";"0,00";"0,00";"8.989,80";
"07/2023";"04 - Administração";"662 - Produção industrial";"1.810.261,82";"3.053.267,61";"3.087.991,76";"425.777,00";
"07/2023";"22 - Indústria";"665 - Normalização e qualidade";"62.905,80";"581.198,87";"542.082,97";"0,00";
"07/2023";"06 - Segurança pública";"482 - Habitação urbana";"203.090,29";"148.390,84";"148.390,84";"0,00";
"07/2023";"09 - Previdência social";"125 - Normatização e fiscalização";"300.727,25";"170.383,62";"221.282,07";"0,00";
"07/2023";"13 - Cultura";"813 - Lazer";"0,00";"0,00";"0,00";"18.180,00";
"07/2023";"12 - Educação";"571 - Desenvolvimento científico";"18.500.000,00";"0,00";"0,00";"0,00";
"07/2023";"07 - Relações exteriores";"573 - Difusão do conhecimento científico e tecnológico";"99.694,99";"492.269,43";"492.664,64";"0,00";
"07/2023";"21 - Organização agrária";"244 - Assistência comunitária";"0,00";"156.013.547,00";"156.013.547,00";"0,00";
"07/2023";"21 - Organização agrária";"608 - Promoção da produção agropecuária";"5.695.440,84";"192.239,14";"130.618,72";"0,00";
"07/2023";"04 - Administração";"092 - Representação judicial e extrajudicial";"- 97.943,07";"2.006.489,91";"2.258.735,47";"92.134,82";
"07/2023";"20 - Agricultura";"607 - Irrigação";"14.315.051,53";"3.398.996,12";"4.918.567,95";"4.460.273,48";
"07/2023";"22 - Indústria";"125 - Normatização e fiscalização";"185.173.316,92";"33.453.134,10";"33.493.294,59";"0,00";
"07/2023";"26 - Transporte";"128 - Formação de recursos humanos";"0,00";"53.518,75";"53.518,75";"20.107,56";
"07/2023";"26 - Transporte";"781 - Transporte aéreo";"13.106.393,17";"1.618.699,65";"714.914,99";"1.642.330,25";
"07/2023";"02 - Judiciária";"032 - Controle externo";"0,00";"149.520,04";"0,00";"3.100,00";
"07/2023";"14 - Direitos da cidadania";"423 - Assistência aos povos indígenas";"4.079.686,84";"2.474.013,76";"2.168.357,48";"429.378,44";
"07/2023";"09 - Previdência social";"846 - Outros encargos especiais";"71.439.077,36";"18.638.419,72";"18.638.419,72";"0,00";
"07/2023";"09 - Previdência social";"128 - Formação de recursos humanos";"- 18.652,75";"10.072,82";"18.076,00";"0,00";
"07/2023";"09 - Previdência social";"331 - Proteção e benefícios ao trabalhador";"35.480.789,72";"24.314.224,63";"22.863.228,85";"0,00";
"07/2023";"09 - Previdência social";"092 - Representação judicial e extrajudicial";"2.200.000,00";"5.494.798,38";"5.512.316,00";"0,00";
"07/2023";"28 - Encargos especiais";"847 - Transferências para a educação básica";"0,00";"5.870.955.913,73";"5.870.955.913,73";"0,00";
"07/2023";"09 - Previdência social";"124 - Controle interno";"144.500,00";"368.938,97";"377.704,55";"0,00";
"07/2023";"09 - Previdência social";"665 - Normalização e qualidade";"0,00";"0,00";"0,00";"0,00";
"07/2023";"09 - Previdência social";"301 - Atenção básica";"0,00";"0,00";"0,00";"508,55";
"07/2023";"24 - Comunicações";"301 - Atenção básica";"0,00";"0,00";"0,00";"0,00";
"07/2023";"24 - Comunicações";"422 - Direitos individuais, coletivos e difusos";"55.918,06";"582.682,99";"580.789,65";"0,00";
"07/2023";"24 - Comunicações";"125 - Normatização e fiscalização";"2.141.794,06";"2.385.582,82";"2.329.536,68";"57.189,96";
"07/2023";"01 - Legislativa";"031 - Ação legislativa";"0,00";"0,00";"4.505,50";"0,00";
"07/2023";"25 - Energia";"846 - Outros encargos especiais";"0,00";"4.175.381,68";"4.373.628,13";"0,00";
"07/2023";"25 - Energia";"125 - Normatização e fiscalização";"7.647.879,97";"5.110.163,98";"6.024.536,03";"674.322,42";
"07/2023";"24 - Comunicações";"722 - Telecomunicações";"433.106,95";"24.056.423,78";"26.392.551,36";"2.812.166,43";
"07/2023";"21 - Organização agrária";"846 - Outros encargos especiais";"0,00";"6.273.291,82";"6.273.291,82";"0,00";
"07/2023";"21 - Organização agrária";"422 - Direitos individuais, coletivos e difusos";"37.745,18";"88.122,57";"82.336,66";"0,00";
"07/2023";"28 - Encargos especiais";"841 - Refinanciamento da dívida interna";"343.000.000,00";"257.695.163.225,84";"257.695.163.225,84";"0,00";
"07/2023";"28 - Encargos especiais";"844 - Serviço da dívida externa";"3.213.045.537,51";"3.213.045.537,51";"3.213.045.537,51";"0,00";
"07/2023";"28 - Encargos especiais";"843 - Serviço da dívida interna";"30.429.882.084,76";"48.589.400.423,33";"48.590.891.973,60";"0,00";
"07/2023";"08 - Assistência social";"243 - Assistência à criança e ao adolescente";"34.300.665,26";"34.300.665,26";"34.300.665,26";"0,00";
"07/2023";"08 - Assistência social";"511 - Saneamento básico rural";"24.737.600,85";"0,00";"0,00";"1.677,00";
"07/2023";"08 - Assistência social";"306 - Alimentação e nutrição";"308.828.908,86";"3.849.704,58";"3.690.835,72";"25.097.793,41";
"07/2023";"27 - Desporto e lazer";"811 - Desporto de rendimento";"1.945.828,17";"13.299.199,16";"13.064.240,17";"1.544.072,06";
"07/2023";"27 - Desporto e lazer";"812 - Desporto comunitário";"48.793.334,67";"3.697.909,00";"3.697.909,00";"40.261.763,72";
"07/2023";"03 - Essencial à justiça";"846 - Outros encargos especiais";"0,00";"26.852.176,22";"26.852.176,22";"61.334,16";
"07/2023";"03 - Essencial à justiça";"331 - Proteção e benefícios ao trabalhador";"0,00";"8.804.944,50";"8.843.908,45";"0,00";
"07/2023";"03 - Essencial à justiça";"092 - Representação judicial e extrajudicial";"25.085.648,60";"34.183.504,11";"33.126.617,39";"788.206,67";
"07/2023";"03 - Essencial à justiça";"122 - Administração geral";"541.300,00";"243.401,86";"252.374,26";"0,00";
"07/2023";"25 - Energia";"751 - Conservação de energia";"123.097,35";"3.348.742,61";"3.845.885,63";"136.904,70";
"07/2023";"24 - Comunicações";"126 - Tecnologia da informação";"2.167.523,00";"6.454.218,84";"8.254.218,84";"370.013,31";
"07/2023";"24 - Comunicações";"846 - Outros encargos especiais";"0,00";"4.214.597,02";"4.214.597,02";"0,00";
"07/2023";"24 - Comunicações";"331 - Proteção e benefícios ao trabalhador";"477.889,22";"2.582.577,50";"2.883.189,47";"0,00";
"07/2023";"24 - Comunicações";"122 - Administração geral";"17.018.952,83";"55.022.262,14";"60.820.671,19";"1.179.849,20";
"07/2023";"24 - Comunicações";"131 - Comunicação social";"0,00";"1.475.584,71";"0,00";"316.141,22";
"07/2023";"05 - Defesa nacional";"363 - Ensino profissional";"4.431.348,74";"3.308.569,51";"2.749.933,76";"1.361.659,88";
"07/2023";"13 - Cultura";"691 - Promoção comercial";"1.025.656.062,00";"200.000.000,00";"237.740.302,00";"12.259.698,00";
"07/2023";"20 - Agricultura";"127 - Ordenamento territorial";"0,00";"0,00";"0,00";"212.445,51";
"07/2023";"21 - Organização agrária";"127 - Ordenamento territorial";"7.594.368,61";"1.421.453,24";"1.521.983,44";"739.696,21";
"07/2023";"11 - Trabalho";"128 - Formação de recursos humanos";"26.565,00";"1.955,97";"1.955,97";"0,00";
"07/2023";"04 - Administração";"391 - Patrimônio histórico, artístico e arqueológico";"3.548.194,96";"1.822.800,67";"2.087.888,68";"71.835,33";
"07/2023";"09 - Previdência social";"845 - Outras transferências";"133.806.000,94";"133.560.369,49";"189.060.414,89";"0,00";
"07/2023";"03 - Essencial à justiça";"032 - Controle externo";"26.200,00";"0,00";"0,00";"5.890,00";
"07/2023";"23 - Comércio e serviços";"691 - Promoção comercial";"0,00";"0,00";"0,00";"452,19";
"07/2023";"04 - Administração";"183 - Informação e inteligência";"5.700.036,79";"6.479.354,49";"6.719.489,15";"1.498.602,41";
"07/2023";"04 - Administração";"123 - Administração financeira";"194.891,93";"1.021.403,52";"1.018.708,96";"12.118,97";
"07/2023";"22 - Indústria";"846 - Outros encargos especiais";"13.510.063,35";"8.770.036,83";"8.771.699,04";"0,00";
"07/2023";"05 - Defesa nacional";"571 - Desenvolvimento científico";"1.684.005,23";"1.753.751,72";"326.637,05";"85.127,24";
"07/2023";"04 - Administração";"422 - Direitos individuais, coletivos e difusos";"2.000.000,00";"1.839.023,18";"1.827.609,15";"0,00";
"07/2023";"14 - Direitos da cidadania";"421 - Custódia e reintegração social";"0,00";"0,00";"0,00";"751.500,00";
"07/2023";"06 - Segurança pública";"421 - Custódia e reintegração social";"111.211.773,80";"1.664.032,04";"1.799.984,60";"21.057.525,97";
"07/2023";"04 - Administração";"571 - Desenvolvimento científico";"0,00";"808.302,59";"808.302,59";"0,00";
"07/2023";"05 - Defesa nacional";"302 - Assistência hospitalar e ambulatorial";"3.793.953,83";"2.909.972,24";"2.826.708,93";"2.060.583,63";
"07/2023";"23 - Comércio e serviços";"695 - Turismo";"201.470.013,66";"220.675.261,29";"220.579.770,49";"106.247.669,21";
