"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2023";"11 - Trabalho";"334 - Fomento ao trabalho";"745.602.973,94";"745.602.973,94";"745.602.973,94";"1.265.915.876,65";
"01/2023";"11 - Trabalho";"331 - Proteção e benefícios ao trabalhador";"1.966.828.805,31";"1.949.453.263,48";"1.943.136.542,59";"1.928.979.479,76";
"01/2023";"11 - Trabalho";"125 - Normatização e fiscalização";"3.491.373,02";"723.389,61";"693.925,63";"1.207.508,81";
"01/2023";"14 - Direitos da cidadania";"241 - Assistência ao idoso";"0,00";"0,00";"0,00";"1.880,00";
"01/2023";"14 - Direitos da cidadania";"122 - Administração geral";"210.947.723,09";"17.897.895,99";"2.561.829,43";"30.081.239,43";
"01/2023";"14 - Direitos da cidadania";"301 - Atenção básica";"0,00";"0,00";"0,00";"1.361.388,46";
"01/2023";"14 - Direitos da cidadania";"331 - Proteção e benefícios ao trabalhador";"15.802.288,76";"996.853,20";"0,00";"0,00";
"01/2023";"03 - Essencial à justiça";"062 - Defesa do interesse público no processo judiciário";"0,00";"0,00";"0,00";"69.833,30";
"01/2023";"19 - Ciência e Tecnologia";"121 - Planejamento e orçamento";"0,00";"0,00";"0,00";"300.000,00";
"01/2023";"12 - Educação";"367 - Educação especial";"8.368.197,43";"19.429,21";"9.004,82";"2.098.779,16";
"01/2023";"19 - Ciência e Tecnologia";"542 - Controle ambiental";"0,00";"0,00";"0,00";"3.000,00";
"01/2023";"19 - Ciência e Tecnologia";"573 - Difusão do conhecimento científico e tecnológico";"72.760,04";"8.808,04";"3.118,00";"1.571.643,83";
"01/2023";"19 - Ciência e Tecnologia";"126 - Tecnologia da informação";"0,00";"0,00";"0,00";"400.000,00";
"01/2023";"12 - Educação";"131 - Comunicação social";"582.058,78";"0,00";"0,00";"183.082,85";
"01/2023";"14 - Direitos da cidadania";"846 - Outros encargos especiais";"44.203.768,31";"6.124.845,88";"6.124.845,88";"4.579.821,42";
"01/2023";"15 - Urbanismo";"128 - Formação de recursos humanos";"10.900,00";"0,00";"0,00";"127.366,63";
"01/2023";"24 - Comunicações";"722 - Telecomunicações";"120.971.404,78";"3.510.859,21";"2.829.292,46";"30.011.591,96";
"01/2023";"15 - Urbanismo";"331 - Proteção e benefícios ao trabalhador";"2.000.332,47";"1.904.686,51";"327.552,56";"0,00";
"01/2023";"06 - Segurança pública";"422 - Direitos individuais, coletivos e difusos";"0,00";"0,00";"0,00";"455.107,12";
"01/2023";"15 - Urbanismo";"301 - Atenção básica";"0,00";"0,00";"0,00";"7.226.266,01";
"01/2023";"18 - Gestão ambiental";"125 - Normatização e fiscalização";"41.653.399,04";"7.355.316,89";"933.602,82";"3.327.627,40";
"01/2023";"15 - Urbanismo";"122 - Administração geral";"50.657.802,55";"46.103.611,69";"8.828.985,00";"46.571.256,81";
"01/2023";"25 - Energia";"211 - Relações diplomáticas";"0,00";"0,00";"0,00";"91.669,31";
"01/2023";"25 - Energia";"754 - Biocombustíveis";"0,00";"0,00";"0,00";"9.185,89";
"01/2023";"02 - Judiciária";"061 - Ação judiciária";"0,00";"0,00";"0,00";"3.005.868,09";
"01/2023";"04 - Administração";"129 - Administração de receitas";"0,00";"0,00";"0,00";"80,00";
"01/2023";"25 - Energia";"128 - Formação de recursos humanos";"561.600,00";"46.595,14";"4.261,36";"86.516,67";
"01/2023";"25 - Energia";"753 - Combustíveis";"1.052.946,31";"0,00";"0,00";"566,45";
"01/2023";"25 - Energia";"301 - Atenção básica";"0,00";"0,00";"0,00";"2.010.293,84";
"01/2023";"22 - Indústria";"665 - Normalização e qualidade";"34.371,97";"0,00";"0,00";"390.481,43";
"01/2023";"25 - Energia";"331 - Proteção e benefícios ao trabalhador";"26.565.790,00";"1.861.345,54";"6.935,96";"0,00";
"01/2023";"04 - Administração";"126 - Tecnologia da informação";"4.434.348,19";"37.834,47";"37.834,47";"28.451.730,95";
"01/2023";"25 - Energia";"752 - Energia elétrica";"1.829.851,29";"19.198,89";"19.038,72";"2.564.510,28";
"01/2023";"04 - Administração";"125 - Normatização e fiscalização";"25.311.532,75";"2.457.652,13";"2.023.558,01";"13.061.174,54";
"01/2023";"25 - Energia";"121 - Planejamento e orçamento";"367.956,15";"5.408,82";"0,00";"48.199,43";
"01/2023";"22 - Indústria";"125 - Normatização e fiscalização";"5.005.486,41";"71.322,44";"70.352,57";"3.426.244,55";
"01/2023";"25 - Energia";"122 - Administração geral";"558.866.565,69";"41.995.253,45";"9.502.526,67";"47.557.438,19";
"01/2023";"28 - Encargos especiais";"845 - Outras transferências";"300.093.586.934,31";"14.745.675.337,21";"14.281.151.239,36";"14.250.632.740,08";
"01/2023";"20 - Agricultura";"665 - Normalização e qualidade";"0,00";"0,00";"0,00";"12.940,00";
"01/2023";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"1.414.072,90";"175.768,38";"29.476,40";"62.928,95";
"01/2023";"10 - Saúde";"304 - Vigilância sanitária";"21.496.358,23";"920.591,69";"899.736,78";"4.081.798,21";
"01/2023";"20 - Agricultura";"363 - Ensino profissional";"0,00";"0,00";"0,00";"210.317,53";
"01/2023";"20 - Agricultura";"631 - Reforma agrária";"0,00";"0,00";"0,00";"0,00";
"01/2023";"20 - Agricultura";"846 - Outros encargos especiais";"20.000.000,00";"14.810.769,70";"14.810.769,70";"0,00";
"01/2023";"20 - Agricultura";"127 - Ordenamento territorial";"0,00";"0,00";"0,00";"0,00";
"01/2023";"21 - Organização agrária";"606 - Extensão rural";"0,00";"0,00";"0,00";"138.393,62";
"01/2023";"20 - Agricultura";"606 - Extensão rural";"0,00";"0,00";"0,00";"1.419.558,00";
"01/2023";"21 - Organização agrária";"363 - Ensino profissional";"0,00";"0,00";"0,00";"925.492,96";
"01/2023";"20 - Agricultura";"541 - Preservação e conservação ambiental";"17.779,08";"0,00";"0,00";"151.530,92";
"01/2023";"20 - Agricultura";"691 - Promoção comercial";"1.185.424,02";"777.686,42";"363.504,66";"373.440,21";
"01/2023";"20 - Agricultura";"545 - Meteorologia";"0,00";"0,00";"0,00";"699.705,24";
"01/2023";"20 - Agricultura";"609 - Defesa agropecuária";"635.690,54";"38.614,60";"38.614,60";"3.796.120,58";
"01/2023";"21 - Organização agrária";"631 - Reforma agrária";"315.115,00";"53.554,54";"13.116,99";"37.533.585,79";
"01/2023";"12 - Educação";"366 - Educação de jovens e adultos";"0,00";"0,00";"0,00";"187.000,00";
"01/2023";"19 - Ciência e Tecnologia";"541 - Preservação e conservação ambiental";"0,00";"0,00";"0,00";"28.497,31";
"01/2023";"19 - Ciência e Tecnologia";"125 - Normatização e fiscalização";"17.325,26";"2.325,26";"2.325,26";"370.887,15";
"01/2023";"19 - Ciência e Tecnologia";"128 - Formação de recursos humanos";"315.400,00";"306.700,00";"306.700,00";"64.649,75";
"01/2023";"19 - Ciência e Tecnologia";"662 - Produção industrial";"44.925,95";"11.323,92";"7.292,26";"7.104.742,51";
