"Mês Ano";"Programa Orçamentário";"Ação Orçamentária";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2023";"0122 - SERVICOS URBANOS DE AGUA E ESGOTO";"10GD - IMPLANTACAO, AMPLIACAO E MELHORIA DE SISTEMAS PUBLICOS DE ABASTECIMENTO DE AGUA EM MUNICIPIOS COM ATE 50.000 HABITANTES, EXCLUSIVE EM REGIOES METROPOLITANAS (RM) OU REGIOES INTEGRADAS DE DESENVOLVIMENTO ECONOMICO (RIDE)";"0,00";"0,00";"0,00";
"01/2023";"2222 - SANEAMENTO BASICO";"7652 - IMPLANTACAO DE MELHORIAS SANITARIAS DOMICILIARES PARA PREVENCAO E CONTROLE DE DOENCAS E AGRAVOS EM LOCALIDADES URBANAS DE MUNICIPIOS COM POPULACAO ATE 50.000 HABITANTES";"0,00";"0,00";"0,00";
"01/2023";"2204 - BRASIL NA FRONTEIRA DO CONHECIMENTO";"4947 - FOMENTO A PROJETOS INSTITUCIONAIS DE CIENCIA E TECNOLOGIA";"0,00";"0,00";"0,00";
"01/2023";"5023 - VIGILANCIA EM SAUDE";"21CH - IMPLANTACAO DE MELHORIAS HABITACIONAIS PARA CONTROLE DA DOENCA DE CHAGAS";"0,00";"0,00";"0,00";
"01/2023";"2221 - RECURSOS HIDRICOS";"109J - CONSTRUCAO DE ADUTORAS";"0,00";"0,00";"0,00";
"01/2023";"2222 - SANEAMENTO BASICO";"116F - IMPLANTACAO, AMPLIACAO, MELHORIAS OU ADEQUACAO DE SISTEMAS DE ABASTECIMENTO DE AGUA EM AREAS DE ATUACAO DA CODEVASF";"0,00";"0,00";"0,00";
"01/2023";"5025 - CULTURA";"219S - DESENVOLVIMENTO E FORTALECIMENTO DA ECONOMIA CRIATIVA";"0,00";"0,00";"0,00";
"01/2023";"2221 - RECURSOS HIDRICOS";"7X91 - IMPLANTACAO DO CANAL DO XINGO";"0,00";"0,00";"0,00";
"01/2023";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0546 - TRANSFERENCIAS DE COTAS-PARTES DA COMPENSACAO FINANCEIRA PELA UTILIZACAO DE RECURSOS HIDRICOS PARA FINS DE GERACAO DE ENERGIA ELETRICA (LEI N. 8.001, DE 1990 - ART.1.)";"1.606.306.599,00";"0,00";"0,00";
"01/2023";"2068 - SANEAMENTO BASICO";"20AG - APOIO A GESTAO DOS SISTEMAS DE SANEAMENTO BASICO EM MUNICIPIOS DE ATE 50.000 HABITANTES";"0,00";"0,00";"0,00";
